"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Connecticut","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",1703
"2010","Connecticut","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1410
"2010","Delaware","B24020_019","Male","Computer, engineering, and science occupations:",14484
"2010","Delaware","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",6403
"2010","Delaware","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",6155
"2010","Delaware","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",1280
"2010","Delaware","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",2340
"2010","Delaware","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",943
"2010","Delaware","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",1592
"2010","Delaware","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",248
"2010","Delaware","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",4991
"2010","Delaware","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",251
"2010","Delaware","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",2933
"2010","Delaware","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",1807
"2010","Delaware","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",3090
"2010","Delaware","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",1605
"2010","Delaware","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",109
"2010","Delaware","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1376
"2010","District of Columbia","B24020_019","Male","Computer, engineering, and science occupations:",14316
"2010","District of Columbia","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",7285
"2010","District of Columbia","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",5511
"2010","District of Columbia","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",1555
"2010","District of Columbia","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",2036
"2010","District of Columbia","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",525
"2010","District of Columbia","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",1395
"2010","District of Columbia","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",1774
"2010","District of Columbia","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",2214
"2010","District of Columbia","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",891
"2010","District of Columbia","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",1252
"2010","District of Columbia","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",71
